Number,Data,Blend,Unit,Price,Number2,Data2,Blend2,Unit2,Price6,Differential,,
216755,02/01/2005 12:00:00 AM,WCS,$US/bbl,28.44,216573,02-01-2005 12:00:00 AM,WTI,$US/bbl2,48.05,19.61,,
216756,03/01/2005 12:00:00 AM,WCS,$US/bbl,36.5,216574,03/01/2005 12:00:00 AM,WTI,$US/bbl,54.63,18.13,,
216757,04/01/2005 12:00:00 AM,WCS,$US/bbl,31.02,216575,04/01/2005 12:00:00 AM,WTI,$US/bbl,53.22,22.2,,
216758,05/01/2005 12:00:00 AM,WCS,$US/bbl,27.46,216576,05/01/2005 12:00:00 AM,WTI,$US/bbl,49.87,22.41,,
216759,06/01/2005 12:00:00 AM,WCS,$US/bbl,38.16,216577,06/01/2005 12:00:00 AM,WTI,$US/bbl,56.42,18.26,,
216760,07/01/2005 12:00:00 AM,WCS,$US/bbl,44.78,216578,07/01/2005 12:00:00 AM,WTI,$US/bbl,59.03,14.25,,
216761,08/01/2005 12:00:00 AM,WCS,$US/bbl,48.29,216579,08/01/2005 12:00:00 AM,WTI,$US/bbl,64.99,16.7,,
216762,09/01/2005 12:00:00 AM,WCS,$US/bbl,42.13,216580,09/01/2005 12:00:00 AM,WTI,$US/bbl,65.55,23.42,, 
216763,10/01/2005 12:00:00 AM,WCS,$US/bbl,41.52,216581,10/01/2005 12:00:00 AM,WTI,$US/bbl,62.27,20.75,,
216764,11/01/2005 12:00:00 AM,WCS,$US/bbl,34.34,216582,11/01/2005 12:00:00 AM,WTI,$US/bbl,58.34,24,,
216765,12/01/2005 12:00:00 AM,WCS,$US/bbl,32.78,216583,12/01/2005 12:00:00 AM,WTI,$US/bbl,59.45,26.67,,
216766,01/01/2006 12:00:00 AM,WCS,$US/bbl,38.8,216584,01/01/2006 12:00:00 AM,WTI,$US/bbl,65.54,26.74,,
216767,02/01/2006 12:00:00 AM,WCS,$US/bbl,28.68,216585,02/01/2006 12:00:00 AM,WTI,$US/bbl,61.93,33.25,,
216768,03/01/2006 12:00:00 AM,WCS,$US/bbl,36.77,216586,03/01/2006 12:00:00 AM,WTI,$US/bbl,62.97,26.2,,
216769,04/01/2006 12:00:00 AM,WCS,$US/bbl,52.02,216587,04/01/2006 12:00:00 AM,WTI,$US/bbl,70.16,18.14,,
216770,05/01/2006 12:00:00 AM,WCS,$US/bbl,57.29,216588,05/01/2006 12:00:00 AM,WTI,$US/bbl,70.96,13.67,,
