Year,Country,        Canada Total petroleum and other liquids (Mb/d),"            Crude oil, NGPL, and other liquids (Mb/d)",                Crude oil including lease condensate (Mb/d),                NGPL (Mb/d),                Other liquids (Mb/d),            Refinery processing gain (Mb/d),,Country,    Production,       United States Total petroleum and other liquids (Mb/d),"            Crude oil, NGPL, and other liquids (Mb/d)",                Crude oil including lease condensate (Mb/d),                NGPL (Mb/d),                Other liquids (Mb/d),            Refinery processing gain (Mb/d)
1973,Canada,1798.109589,1798.109589,1798.109589,,,,,United States,,9207.953296,9207.953296,9207.953296,,,
1974,Canada,1550.953425,1550.953425,1550.953425,,,,,United States,,8774.205438,8774.205438,8774.205438,,,
1975,Canada,1430.230137,1430.230137,1430.230137,,,,,United States,,8374.736962,8374.736962,8374.736962,,,
1976,Canada,1313.983607,1313.983607,1313.983607,,,,,United States,,8131.639273,8131.639273,8131.639273,,,
1977,Canada,1321.134247,1321.134247,1321.134247,,,,,United States,,8244.5616,8244.5616,8244.5616,,,
1978,Canada,1316.021918,1316.021918,1316.021918,,,,,United States,,8707.440995,8707.440995,8707.440995,,,
1979,Canada,1500.178082,1500.178082,1500.178082,,,,,United States,,8551.534142,8551.534142,8551.534142,,,
1980,Canada,1435.202186,1435.202186,1435.202186,331,0,50,,United States,,8596.625757,8596.625757,8596.625757,1573,44,595
1981,Canada,1284.728767,1284.728767,1284.728767,330,0,48,,United States,,8571.572515,8571.572515,8571.572515,1609,50,508
1982,Canada,1271.150685,1271.150685,1271.150685,318,0,50,,United States,,8648.534345,8648.534345,8648.534345,1550,53,531
1983,Canada,1356.230137,1356.230137,1356.230137,309,0,27,,United States,,8687.641027,8687.641027,8687.641027,1559,53,488
1984,Canada,1437.622951,1437.622951,1437.622951,336,0,36,,United States,,8878.950702,8878.950702,8878.950702,1630,45,553
1985,Canada,1471.052055,1471.052055,1471.052055,337,0,40,,United States,,8971.377997,8971.377997,8971.377997,1609,55,557
